"Qty";"Value";"Device";"Package";"Parts";"Description";"DIS";"DPN";"MFR";"MPN";"TP_SIGNAL_NAME";
	"1";"";"PINHD-1X03_2.00";"1X03M";"JP301";"PIN HEADER";"";"";"";"";"";
	"4";"0.68";"R-US_0805-B-NOSILK";".0805-B-NOSILK";"R305, R306, R411, R412";"RESISTOR, American symbol";"";"";"";"";"";
"1";"1.5 uH";"L-COILCRAFT-XFL4020";"L-COILCRAFT-XFL4020";"L201";"";"Mouser";"994-XFL4020-152MEB";"Coilcraft";"XFL4020-152ME";"";
	"1";"100k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R405";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"7";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C101, C102, C105, C204, C307, C310, C408";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"4";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R101, R201, R203, R309";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"3";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C103, C305, C405";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"1";"10p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C104";"CAPACITOR, European symbol";"Digi-Key";"1276-6601-1-ND";"Samsung";"CL05C200JB51PNC";"";
	"1";"10u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C203";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"2";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"C201, C202";"CAPACITOR, European symbol";"";"";"";"";"";
	"1";"150k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R205";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"5";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R301, R302, R401, R402, R406";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"1";"1k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R407";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"2";"1n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C304, C404";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"6";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R303, R307, R308, R409, R413, R414";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"1";"2.2n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C406";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"2";"2.2u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C303, C403";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"1";"22n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C407";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"5";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C205, C301, C302, C401, C402";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"2";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"C206, C207";"CAPACITOR, European symbol";"";"";"";"";"";
	"2";"330";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R403, R404";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"2";"4.7u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"C306, C409";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"1";"470k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R204";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"1";"47k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R408";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	
	"2";"680";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R304, R410";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
	"4";"680p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"C308, C309, C410, C411";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
	"1";"ABM10-16MHz";"CRYSTAL-WITH-GND";"CRYSTAL_2.5X2";"X101";"";"Digi-Key";"XC2181CT-ND";"ECS Inc.";"ECS-160-10-36Q-ES-TR";"";
"1";"AS5047P";"AS5047P";"TSSOP14";"U302";"";"";"";"";"";"";
	"1";"CARD CONN";"LOW-PROFILE_CONNECTOR(TAB)";"LOW-PROFILE_CONNECTOR(TAB)";"CON502";"";"";"";"";"";"";
	"1";"DEBUG_CON";"DEBUG_CON";"DEBUG_CON";"C501";"";"";"";"";"";"";
	"1";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"R202";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"1";"STM32L452XX_QFPN48";"STM32L452XX_QFPN48";"QFPN-48";"U100";"";"";"";"";"";"";
"1";"STSPIN230";"STSPIN230";"VFQPN";"U300";"";"";"";"";"";"";
"1";"STSPIN250";"STSPIN250";"VFQPN";"U400";"";"";"";"";"";"";
"1";"TCAN330";"TCAN330";"SOT23-8_TI-DCN";"U101";"";"Digi-Key";"296-44211-1-ND";"Texas Instruments";"TCAN330GDCNT";"";
"1";"TPS63070";"TPS63070X";"TPS63070X";"U200";"TPS63070 2-V to 16-V Buck-Boost Converter With 3.6-A Switch Current";"Digi-Key";"296-44874-1-ND";"TI";"TPS63070";"";
	"3";"TPTP06R";"TPTP06R";"TP06R";"TP1, TP2, TP3";"Test pad";"";"";"";"";"";
	"1";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"BOOT";"Test pad";"";"";"";"";"";
"2";"TSV991ILT";"TSV991ILT";"SOT23-5";"U301, U401";"";"";"";"";"";"";
