"Part";"Value";"Device";"Package";"Description";"DIS";"DPN";"MFR";"MPN";"TP_SIGNAL_NAME";
"BOOT";"TPTP15SQ";"TPTP15SQ";"TP15SQ";"Test pad";"";"";"";"";"";
"C101";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C102";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C103";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C104";"10p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-6601-1-ND";"Samsung";"CL05C200JB51PNC";"";
"C105";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C201";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C202";"10u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C203";"10u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C204";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C205";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C206";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C207";"22u";"C-EU0805-B-NOSILK";".0805-B-NOSILK";"CAPACITOR, European symbol";"";"";"";"";"";
"C301";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C302";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C303";"2.2u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C304";"1n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C305";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C306";"4.7u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C307";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C308";"680p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C309";"680p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C310";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C401";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C402";"22u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C403";"2.2u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C404";"1n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C405";"10n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C406";"2.2n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C407";"22n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C408";"100n";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C409";"4.7u";"C-EU0603-B-NOSILK";".0603-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C410";"680p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C411";"680p";"C-EU0402-B-NOSILK";".0402-B-NOSILK";"CAPACITOR, European symbol";"Digi-Key";"1276-1001-1-ND";"Samsung";"CL05B104KO5NNNC";"";
"C501";"DEBUG_CON";"DEBUG_CON";"DEBUG_CON";"";"";"";"";"";"";
"CON502";"CARD CONN";"LOW-PROFILE_CONNECTOR(TAB)";"LOW-PROFILE_CONNECTOR(TAB)";"";"";"";"";"";"";
"JP301";"";"PINHD-1X03_2.00";"1X03M";"PIN HEADER";"";"";"";"";"";
"L201";"1.5 uH";"L-COILCRAFT-XFL4020";"L-COILCRAFT-XFL4020";"";"Mouser";"994-XFL4020-152MEB";"Coilcraft";"XFL4020-152ME";"";
"R101";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R201";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R202";"NP";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R203";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R204";"470k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R205";"150k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R301";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R302";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R303";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R304";"680";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R305";"0.68";"R-US_0805-B-NOSILK";".0805-B-NOSILK";"RESISTOR, American symbol";"";"";"";"";"";
"R306";"0.68";"R-US_0805-B-NOSILK";".0805-B-NOSILK";"RESISTOR, American symbol";"";"";"";"";"";
"R307";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R308";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R309";"10k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R401";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R402";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R403";"330";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R404";"330";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R405";"100k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R406";"18k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R407";"1k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R408";"47k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R409";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R410";"680";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R411";"0.68";"R-US_0805-B-NOSILK";".0805-B-NOSILK";"RESISTOR, American symbol";"";"";"";"";"";
"R412";"0.68";"R-US_0805-B-NOSILK";".0805-B-NOSILK";"RESISTOR, American symbol";"";"";"";"";"";
"R413";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"R414";"2.2k";"R-US_0402-B-NOSILK";".0402-B-NOSILK";"RESISTOR, American symbol";"Digi-Key";"1276-4275-1-ND";"Samsung";"RC1005F6653CS";"";
"TP1";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";
"TP2";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";
"TP3";"TPTP06R";"TPTP06R";"TP06R";"Test pad";"";"";"";"";"";
"U100";"STM32L452XX_QFPN48";"STM32L452XX_QFPN48";"QFPN-48";"";"";"";"";"";"";
"U101";"TCAN330";"TCAN330";"SOT23-8_TI-DCN";"";"Digi-Key";"296-44211-1-ND";"Texas Instruments";"TCAN330GDCNT";"";
"U200";"TPS63070";"TPS63070X";"TPS63070X";"TPS63070 2-V to 16-V Buck-Boost Converter With 3.6-A Switch Current";"Digi-Key";"296-44874-1-ND";"TI";"TPS63070";"";
"U300";"STSPIN230";"STSPIN230";"VFQPN";"";"";"";"";"";"";
"U301";"TSV991ILT";"TSV991ILT";"SOT23-5";"";"";"";"";"";"";
"U302";"AS5047P";"AS5047P";"TSSOP14";"";"";"";"";"";"";
"U400";"STSPIN250";"STSPIN250";"VFQPN";"";"";"";"";"";"";
"U401";"TSV991ILT";"TSV991ILT";"SOT23-5";"";"";"";"";"";"";
"X101";"ABM10-16MHz";"CRYSTAL-WITH-GND";"CRYSTAL_2.5X2";"";"Digi-Key";"XC2181CT-ND";"ECS Inc.";"ECS-160-10-36Q-ES-TR";"";
